what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1330420759958
ws,sysinfo,,,"win32",1330420759958
locale,sysinfo,,,"ja_JP",1330420759958
processors,sysinfo,,,"4",1330420759958
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1330420759958
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1330420759958
java.specification.name,sysinfo,,,"Java Platform API Specification",1330420759958
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330420759958
java.specification.version,sysinfo,,,"1.6",1330420759958
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330420759958
java.version,sysinfo,,,"1.6.0_27",1330420759958
java.vm.info,sysinfo,,,"mixed mode",1330420759958
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1330420759958
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330420759958
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330420759958
java.vm.specification.version,sysinfo,,,"1.0",1330420759958
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330420759958
java.vm.version,sysinfo,,,"20.2-b06",1330420759958
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1330420759960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330420762224
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1330420762637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330420767413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330420770849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.aboutAction",1330420770857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330420772066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330420791910
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330420792088
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1330420793552
